NAME,Total Enrollment,Total Revenue
RIDGEWAY SCH DIST R 5,81,1407
RIDGEWOOD COMMUNITY HIGH SCHOOL DISTRICT 234,839,24321
RIDGEWOOD LOCAL SCH DIST,1293,15160
RIDGEWOOD TWP SCHOOL DISTRICT,5751,128410
RIDGWAY AREA SCH DIST,786,14176
RIDGWAY SCH DIST R-2,360,6471
RIDLEY SCH DIST,5579,109703
RIESEL IND SCH DIST 912,681,7650
RILEY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 18,292,6220
RILEY UNIFIED SCHOOL DISTRICT 378,701,8983
RIM WORLD UNIFIED SCH DIST,3236,46371
RINCON VALLEY UNION ELEM SCH DIST,3307,52897
RINGGOLD SCHOOL DIST,2787,49032
RINGLING SCH DIST 14,381,4586
RINGWOOD BORO SCH DIST,1152,29246
RINGWOOD SCH DIST 1,379,4341
RIO BRAVO-GREELEY UNION SCHOOL DIST,1083,14225
RIO COMMUNITY SCHOOL DISTRICT,407,7098
RIO DELL ELEM SCH DIST,307,4450
RIO ELEM SCH DIST,5219,81761
RIO GRANDE CITY IND SCH DIST 901,10184,124464
RIO HONDO IND SCH DIST 911,1907,24941
RIO RANCHO PUBLIC SCHOOLS,17535,180569
RIO VISTA IND SCH DIST 907,755,10418
RIPLEY CENTRAL SCH DIST,163,9531
RIPLEY CO SCH DIST R 4,125,1596
RIPLEY COUNTY SCHOOL DIST R-3,73,1321
RIPLEY SCH DIST 3,456,5198
RIPLEY UNION LEWIS LOCAL SCH DIST,780,12590
RIPON SCHOOL DISTRICT,1600,23414
RIPON UNIFIED SCH DIST,3268,44154
RIRIE JOINT SCHOOL DISTRICT 252,701,6737
RISCO SCH DIST R 2,190,2339
RISING STAR IND SCH DISTRICT 908,167,2297
RISING SUN-OHIO COUNTY COMMUNITY,797,10945
RITCHIE CO SCH DIST,1357,21875
RITENOUR SCH DIST,6449,76710
RITTMAN EX VLG SCH DIST,991,13943
RITZVILLE SCHOOL DISTRICT 160-67,384,11202
RIVENDELL INTERSTATE SCHOOL DISTRICT,478,11839
RIVER BEND COMMUNITY UNIT SCHOOL DISTRICT 2,938,13460
RIVER DELL REGIONAL HIGH SCH DIST,1599,40058
RIVER DELTA UNIFIED SCHOOL DIST,1948,31594
RIVER EDGE BORO SCH DIST,1227,24164
RIVER FALLS SCHOOL DISTRICT,3455,48353
RIVER FOREST COMMUNITY SCHOOL CORPORATION,1663,19926
RIVER FOREST SCHOOL DISTRICT 90,1466,31937
RIVER GROVE SCHOOL DISTRICT 85-5,748,12057
RIVER RD IND SCH DIST 902,1338,15683
RIVER RIDGE COMMUNITY UNIT SCHOOL DISTRICT 210,510,11511
RIVER RIDGE SCHOOL DISTRICT,542,9137
RIVER ROUGE CITY SCHOOL DIST,2279,32257
RIVER TRAILS SCHOOL DISTRICT 26,1584,32797
RIVER VALE TWP SCH DIST,1127,27728
RIVER VALLEY SCH DIST,578,10550
RIVER VALLEY SCH DIST,1959,22820
RIVER VALLEY SCHOOL DISTRICT,425,6830
RIVER VALLEY SCHOOL DISTRICT,1194,18533
RIVER VIEW LOCAL SCH DIST,1958,22907
RIVERBANK UNIFIED SCHOOL DISTRICT,3016,47071
RIVERCREST INDEPENDENT SCH DIST,721,9264
RIVERDALE BORO SCH DIST,336,9614
RIVERDALE COMMUNITY UNIT SCHOOL DISTRICT 100,1157,15848
RIVERDALE JOINT UNIFIED SCHOOL DISTRICT,1563,24905
RIVERDALE LOCAL SCHOOL DISTRICT,1060,13877
RIVERDALE SCH DIST 51J,637,11955
RIVERDALE SCHOOL DISTRICT,695,10691
RIVERHEAD CENTRAL SCHOOL DIST,5718,148182
RIVERSIDE BEAVER CO SCH DIST,1446,25877
RIVERSIDE COMMUNITY SCHOOL DISTRICT,659,12384
RIVERSIDE LOCAL SCH DIST,655,10697
RIVERSIDE LOCAL SCHOOL DISTRICT,4079,56007
RIVERSIDE PUBLIC SCHOOL DISTRICT,240,5032
RIVERSIDE REGIONAL SCHOOL UNIT 26,774,14245
RIVERSIDE RICH VAL SCH DIST 29,178,1870
RIVERSIDE SCH DIST,800,8254
RIVERSIDE SCHOOL DIST,1533,26369
RIVERSIDE SCHOOL DISTRICT 2,918,17269
RIVERSIDE SCHOOL DISTRICT 416,1452,20961
RIVERSIDE SCHOOL DISTRICT 96,1688,37720
RIVERSIDE TWP SCHOOL DIST,1404,29152
RIVERSIDE UNIFIED SCHOOL DIST,40708,581428
RIVERSIDE UNIFIED SCHOOL DISTRICT 114,627,7946
RIVERSIDE-BROOKFIELD DISTRICT 208,1638,40746
RIVERTON BORO SCH DIST,291,6925
RIVERTON COMMUNITY UNIT SCHOOL DISTRICT 14,1429,19528
RIVERTON UNIFIED SCHOOL DISTRICT 404,739,10835
RIVERVIEW COMM SCH DIST,2873,32742
RIVERVIEW COMMUNITY CONSOLIDATED SCHOOL DISTRICT 2,233,2867
RIVERVIEW GARDENS SCHOOL DIST,5526,63359
RIVERVIEW SCH DIST,954,24110
RIVERVIEW SCHOOL DISTRICT,1252,14364
RIVERVIEW SCHOOL DISTRICT 407,3482,57167
RIVIERA IND SCH DIST 903,444,6666
ROANE CO SCH DIST,2093,23379
ROANE CO SCHOOL DISTRICT,6541,68788
ROANOKE BENSON COMMUNITY UNIT SCHOOL DISTRICT 60,495,8863
ROANOKE CITY SCHOOL DISTRICT,1519,15169
ROANOKE CITY SCHOOLS,13749,212543
ROANOKE CO SCHS,14121,166479
ROANOKE RAPIDS CITY SCHOOLS,2945,29371
ROARING FORK SCH DIST RE 1,5687,91078
ROBBINSDALE SCH DIST 281,12546,215023
ROBBINSVILLE SCHOOL DISTRICT,3164,59784
ROBEIN SCHOOL DISTRICT 85,158,2525
ROBERT LEE IND SCH DISTRICT 902,285,5922
ROBERTS FERRY UNION ELEM SCHOOL DIST,161,2271
ROBERTS K-12 SCHOOL DISTRICT,111,2101
ROBERTSON CO SCH DIST,455,8392
ROBERTSON CO SCH DIST,11386,112139
ROBESON CO SCH,22044,240065
ROBIN HILL SCH DIST 16,351,2653
ROBINSON COMMUNITY UNIT SCHOOL DISTRICT 2,1600,24077
ROBINSON IND SCH DIST 922,2411,26022
ROBLA ELEM SCH DIST,2047,37265
ROBSTOWN IND SCH DIST 909,2758,43203
ROBY IND SCH DISTRICT 903,297,3859
ROCHELLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 231,1635,23692
ROCHELLE IND SCH DIST 904,179,2817
ROCHELLE PARK SCH DIST,511,14857
ROCHELLE TOWNSHIP HIGH SCHOOL DIST212,872,19132
ROCHESTER AREA SCH DIST,698,17837
ROCHESTER CITY SCH DIST,28433,908105
ROCHESTER CITY SCHOOL DISTRICT,4270,70498
ROCHESTER COMM SCHS,15434,212464
ROCHESTER COMMUNITY SCHOOL CORPORATION,1775,22397
ROCHESTER COMMUNITY UNIT SCHOOL DISTRICT 3 A,2267,29983
ROCHESTER PUBLIC SCHS,511,9338
ROCHESTER SCH DIST 535,18015,266488
ROCHESTER SCHOOL DISTRICT 401,1848,34372
ROCHESTER-STOCKBRIDGE UNIFIED UNION SCH DIST,158,4120
ROCK CO HIGH SCH DIST 100,242,4000
ROCK CREEK SCHOOL DIST 2,501,5608
ROCK CREEK UNIFIED SCHOOL DISTRICT 323,1086,13952
ROCK FALLS SCHOOL DISTRICT 13,1026,15642
ROCK FALLS TOWNSHIP HIGH SCHOOL DISTRICT 301,653,13734
ROCK HILL LOCAL SCH DIST,1424,29296
ROCK HILL SCHOOL DISTRICT 3,17783,228694
ROCK HILL UNIFIED SCHOOL DISTRICT 107,319,4568
ROCK ISLAND SCHOOL DISTRICT 41,6259,112270
ROCK PORT SCH DIST R2,345,4973
ROCK VALLEY COMMUNITY SCHOOL DISTRICT,922,12166
ROCKAWAY BORO SCH DIST,556,12254
ROCKAWAY TWP SCH DIST,2276,59130
ROCKBRIDGE COUNTY SCHS,2842,38518
ROCKCASTLE CO SCH DIST,2825,32631
ROCKDALE CO SCH DIST,16775,212363
ROCKDALE IND SCH DIST 904,1504,16725
ROCKDALE SCHOOL DISTRICT 84,280,5110
ROCKFORD ELEM SCH DIST,339,4075
ROCKFORD IND SCH DIST 883,1634,25600
ROCKFORD PUBLIC SCHOOLS,7975,104371
ROCKFORD SCHOOL DISTRICT 205,28495,471509
ROCKINGHAM COUNTY SCH,11691,115275
ROCKINGHAM COUNTY SCHS,11913,158891
ROCKINGHAM SCHOOL DISTRICT,566,10266
ROCKLAND SCHOOL DISTRICT 382,178,2345
ROCKLAND TOWN SCHS,2228,46314
ROCKLIN UNIF SCHOOL DISTRICT,12131,166951
ROCKPORT PUBLIC SCHS,888,21545
ROCKRIDGE COMMUNITY SCHOOL DISTRICT 300,1078,17951
ROCKSPRINGS IND SCH DISTRICT 901,306,4621
ROCKTON SCHOOL DISTRICT 140,1572,20270
ROCKVILLE CENTRE UNION FREE SCHOOL DIST,3571,118114
ROCKWALL IND SCH DIST 901,16587,193209
ROCKWOOD AREA SCH DIST,692,11765
ROCKWOOD SCH DIST R-6,21130,288965
ROCKY BOY ELEM DIST 87-J,456,11698
ROCKY BOY HIGH SCHOOL DIST L,118,3092
ROCKY FORD SCH DIST R-2,764,10121
ROCKY HILL TOWN SCHOOLS,2740,81170
ROCKY MOUNTAIN SCH DIST 24,195,2418
ROCKY POINT UF SCH DIST,2997,84855
ROCKY RIVER CITY SCH DIST,2718,47686
ROFF SCH DIST 37,321,3858
ROGERS CITY AREA SCH DIST,528,6238
ROGERS IND SCH DIST 907,869,9887
ROGERS SCH DIST 30,15944,186646
ROGERSVILLE TWN SCH DIST,673,7071
ROGUE RIVER SCH DIST 35,1018,13444
ROLAND SCH DIST 5,922,8697
ROLAND STORY COMMUNITY SCHOOL DISTRICT,1164,14808
ROLETTE SPEC SCH DIST 29,162,3155
ROLLA SCH DIST 31,4195,46915
ROLLA UNIFIED SCHOOL DISTRICT 217,121,2504
ROLLING HILLS LOCAL SCHOOL DISTRICT,1530,21291
ROLLINSFORD TOWN SCH DIST,159,5808
ROMA IND SCH DIST 903,6238,79289
ROME CITY SCH DIST,5797,130452
ROME COMMUNITY CONSOLIDATED SCHOOL DISTRICT 2,398,4096
ROME INDEPENDENT SCHOOL DISTRICT,6517,78943
ROMEO COMM SCH DIST,5042,64961
ROMOLAND ELEM SCH DIST,4090,54670
ROMULUS CENTRAL SCH DIST,471,13412
ROMULUS COMMUNITY SCHS,2575,44325
RONAN ELEM SCH DIST 30,1139,13392
RONAN H S DIST 30,343,5522
RONDOUT SCHOOL DISTRICT 72,141,6858
RONDOUT VAL CTL SCH DIST,1958,63780
ROOKS CREEK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 425,45,873
ROOSEVELT BORO SCH DIST,83,2980
ROOSEVELT IND SCH DIST 908,1066,14130
ROOSEVELT SCH DIST 18,57,2183
ROOSEVELT SCHOOL DISTRICT 403,25,700
ROOSEVELT SCHOOL DISTRICT 66,8982,105136
ROOSEVELT UF SCH DIST,3423,109373
ROOTSTOWN LOCAL SCH DIST,1135,14984
ROPES IND SCH DIST 905,479,5937
ROSALIA SCHOOL DISTRICT 320,213,4287
ROSCOE CENTRAL SCHOOL DISTRICT,243,9326
ROSCOE IND SCH DIST 901,645,10264
ROSCOE SCH DIST C 1,65,886
ROSCOMMON AREA PUBLIC SCHOOLS,927,13010
ROSE BUD SCH DIST 35,796,8964
ROSE HILL UNIFIED SCHOOL DISTRICT 394,1657,19285
ROSE TREE MEDIA SCH DIST,3909,98163
ROSEAU SCH DIST 682,1183,16499
ROSEBUD K-12 SCHOOL DISTRICT,37,1285
ROSEBUD-LOTT IND SCH DISTRICT 905,682,9032
ROSEDALE UNION ELEM SCH DIST,5797,69196
ROSELAND BORO SCH DIST,472,10960
ROSELAND SCHOOL DISTRICT,1412,38420
ROSELLE BORO SCH DIST,2969,62229
ROSELLE PARK BORO SCH DIST,2034,43359
ROSELLE SCHOOL DISTRICT 12,651,15253
ROSEMEAD ELEM SCH DIST,2418,41181
ROSEMONT SCHOOL DISTRICT 78,211,7193
ROSEMOUNT SCH DIST 196,28997,417584
ROSENDALE-BRANDON SCHOOL DISTRICT,1047,13287
ROSEVILLE CITY ELEM SCHOOL DIST,11344,143814
ROSEVILLE COMMUNITY SCHOOLS,4631,64143
ROSEVILLE IND SCH DIST 623,7655,139596
ROSEVILLE JT UNION HIGH SCH,10308,161011
ROSHOLT SCHOOL DISTRICT,530,8014
ROSHOLT SCHOOL DISTRICT 54-4,249,3235
ROSLYN UNION FREE SCH DIST,3169,112220
ROSS ELEM DIST 52,2,80
ROSS ELEM SCH DIST,394,10497
ROSS LOCAL SCH DIST,2868,29044
ROSS VALLEY SCHOOL DISTRICT,2094,32753
ROSSFORD EX VLG SCH DIST,1542,34536
ROSSVILLE CONSOLIDATED SCHOOL DISTRICT,972,10955
ROSSVILLE-ALVIN COMMUNITY UNIT SCHOOL DISTRICT 7,300,6379
ROSWELL INDEPENDENT SCHOOLS,10510,107768
ROTAN IND SCH DIST 904,257,4087
ROTHSAY SCH DIST 850,304,5038
ROTTERDAM-MOHONASEN CENTRAL SCH DIST,2825,54403
ROUND LAKE AREA SCHOOL DISTRICT 116,6835,112758
ROUND LAKE-BREWSTER PUBLIC SCHOOLS,342,5067
ROUND ROCK IND SCH DIST 909,50387,593245
ROUND VALLEY ELEM SCH DIST,137,1703
ROUND VALLEY UNIFIED SCH DIST,409,9240
ROUND VALLEY UNIFIED SCHOOL DISRICT 10,1315,13107
ROUNDTOP CARMINE IND SCH DISTRICT 908,267,5170
ROUNDUP ELEM SCH DIST 55,390,4942
ROUNDUP H S DIST 55H,166,3243
ROWAN CO SCH DIST,3473,39673
ROWAN COUNTY SCH,18976,195237
ROWE ELEM SCHOOL,66,2596
ROWLAND UNIFIED SCH DIST,13249,229886
ROXANA COMMUNITY UNIT SCHOOL DISTRICT 1,1853,35769
ROXBURY CENTRAL SCHOOL DIST,272,11257
ROXBURY TWP SCH DIST,3551,89833
ROXTON IND SCH DIST 908,137,2077
ROY K-12 SCHOOL DISTRICT,36,1233
ROY SCHOOL DISTRICT,46,1763
ROYAL IND SCH DIST 905,2371,32233
ROYAL OAK PUB SCH DIST,4992,77476
ROYAL SCHOOL DISTRICT 160,1746,32415
ROYAL VALLEY SCHOOL DISTRICT 337,842,11385
ROYALL SCHOOL DISTRICT,508,9037
ROYALTON HARTLAND CENTL SCHOOL DIST,1334,26795
ROYALTON IND SCH DIST 485,954,12391
ROYSE CITY IND SCH DIST 902,6169,73161
RTR PUBLIC SCHOOLS,589,7637
RUDD-ROCKFORD-MARBLE ROCK COMMUNITY SCHOOL DISTRICT,456,6888
RUDYARD AREA SCHOOLS,614,9142
RUGBY SCH DIST 5,621,9462
RUIDOSO SCHOOL DISTRICT,2066,25809
RULE IND SCH DIST 903,122,2199
RUMNEY TOWN SCH DIST,114,3375
RUMSON BORO SCH DIST,999,22487
RUMSON FAIR HAVEN REG HIGH SCHOOL DIST,999,25092
RUNGE IND SCH DIST 903,256,8083
RUNNEMEDE BORO SCH DIST,814,16793
RURAL VISTA UNIFIED SCHOOL DISTRICT 481,276,4546
RUSH CITY IND SCH DISTRICT 139,848,11631
RUSH SPRINGS SCH DIST 68,521,6419
RUSHFORD-PETERSON SCHOOL DIST,697,11456
RUSH-HENRIETTA CENTRAL SCH DIST,5512,138477
RUSHVILLE CONSOLIDATED SCHOOLS,2065,27245
RUSK IND SCH DIST 907,2064,22180
RUSSELL CO SCH DIST,3129,36822
RUSSELL CO SCHS,3785,45439
RUSSELL COUNTY SCHOOL DISTRICT,3447,37577
RUSSELL COUNTY UNIFIED SCHOOL DISTRICT 407,858,11515
RUSSELL INDEP SCH DIST,2258,26988
RUSSELLVILLE CITY SCHOOLS,2456,28589
RUSSELLVILLE IND SCH D,983,15637
RUSSELLVILLE SCH DIST 14,5418,66439
RUSSIA LOCAL SCH DIST,422,5707
RUTHERFORD BORO SCH DIST,2652,54875
RUTHERFORD CO SCH DIST,46303,447654
RUTHERFORD COUNTY SCHOOLS,8063,90397
RUTHVEN-AYRSHIRE COMMUNITY SCHOOL DISTRICT,190,3837
RUTLAND CITY SCHOOLS,2130,54547
RUTLAND COMMUNITY CONSOLIDATED SCHOOL DISTRICT 230,72,1873
RUTLAND SCHOOL DISTRICT 39-4,187,2907
RUTLAND TOWN SCH DIST,370,7758
RYAL SCH DIST 3,87,1029
RYAN SCH DIST 1,244,3255
RYE CITY SCH DIST,3282,91090
RYE NECK UNION FREE SCHOOL DIST,1608,42530
RYE SCHOOL DIST,399,13578
RYEGATE K-12 SCHOOL DISTRICT,51,1393
S H ELEM DIST 86,2,83
S S CONSOL IND SCH DIST 914,928,13330
S Y ELEM DISTRICT 83,9,111
SABINAL IND SCH DIST 902,449,6889
SABINE IND SCH DIST 906,1495,15418
SABINE PARISH SCHOOL DISTRICT,4388,57759
SABINE PASS IND SCH DIST 913,371,13687
SACATON SCHOOL DISTRICT 18,640,12114
SACHEM CENTRAL SCH DIST,12776,339940
SACKETS HARBOR CENTRAL SCH DST,435,9281
SACO CITY PUBLIC SCHOOLS,2732,43245
SACO ELEMENTARY SCHOOL DIST 12A,37,855
SACO H S DIST NO B,17,723
SACRAMENTO CITY UNIF SCH DIST,42506,711973
SACRAMENTO CO SPL SCHS OPER BY CO SUPT,886,175130
SADDLE BROOK TWP SCH DIST,1798,43247
SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT,1987,19316
SADDLE RIVER BORO SCH DIST,165,10450
SADDLEBACK VALLEY UNIFIED SCHOOL DIST,26747,363299
SAFFORD SCHOOL DISTRICT 1,3065,25578
SAG HARBOR UF SCH DIST,963,42133
SAGAPONACK COMMON SCHOOL DIST,15,1203
SAGINAW PUB SCH DIST,5445,73989
SAGINAW TOWNSHIP COMMUNITY SCHOOLS,4789,54799
SAHUARITA SCHOOL DISTRICT 30,6510,64324
SAINT BERNARD-ELMWOOD PLACE CY SCHOOL DIST,907,18189
SAINT CLAIR AREA SCHOOL DISTRICT,508,12434
SAINT JO IND SCH DIST 911,299,3905
SALADO IND SCH DIST 908,1949,19398
SALAMANCA CITY SCH DIST,1299,67114
SALEM CENTRAL SCHOOL DISTRICT,565,13615
SALEM CITY SCH,3718,92561
SALEM CITY SCH DIST,2084,25578
SALEM CITY SCHOOL DIST,3958,48152
SALEM COMMUNITY HIGH SCHOOL DISTRICT 600,647,9336
SALEM COMMUNITY SCHOOL DISTRICT,1834,22362
SALEM COUNTY VOCATIONAL EDUCATION SCHOOL DISTRICT,602,13826
SALEM KEIZER SCH DIST 24J,41920,599263
SALEM SCH DIST,854,8293
SALEM SCH DIST R 80,1404,13626
SALEM SCHOOL DIST,3527,73590
SALEM SCHOOL DISTRICT,1272,29768
SALEM SCHOOL DISTRICT 111,1038,9882
SALEM TOWN SCHOOLS,412,12617
SALEM-BRISTOL JOINT SCHOOL DISTRICT 2,969,16905
SALIDA SCH DIST R-32,1265,18988
SALIDA UNION ELEMENTARY SCHOOL DISTRICT,2419,35854
SALINA SCH DIST 16,792,8748
SALINA UNIFIED SCHOOL DISTRICT 305,7430,132245
SALINAS CITY ELEM SCH DIST,8689,125910
SALINAS UNION HIGH SCHOOL DIST,15818,228672
SALINE AREA SCH DIST,5273,85030
SALISBURY CENTRAL SCHOOL,287,8220
SALISBURY SCH DIST R 4,487,7265
SALISBURY TWP SCH DIST,1579,38833
SALISBURY-ELK LICK SCHOOL DIST,269,4959
SALLISAW SCH DIST 1,1938,18476
SALMON RIVER CENTRAL SCH DIST,1545,48182
SALMON RIVER JOINT SCHOOL DISTRICT 243,127,2539
SALMON SCHOOL DISTRICT 291,820,7297
SALOME SCHOOL DISTRICT 30,113,1307
SALT CREEK SCHOOL DISTRICT 48,483,16354
SALT FORK COMMUNITY UNIT SCH DIST 512,898,16180
SALT LAKE CITY SCHOOL DIST,23165,280649
SALTILLO IND SCH DIST 909,241,3558
SALUDA COUNTY SCHOOL DISTRICT 1,2328,29353
SAM HOUSTON STATE UNIV. CHARTER SCHOOL,299,2558
SAM RAYBURN IND SCH DIST,541,7432
SAMPSON CO SCH,8196,80313
SAN ANGELO IND SCH DIST 903,15080,141725
SAN ANTONIO IND SCH DIST 907,48745,670947
SAN ANTONIO UNION ELEM SCH DIST,120,2407
SAN ARDO UNION ELEM SCH DIST,110,1918
SAN AUGUSTINE IND SCH DIST 901,756,10513
SAN BENITO CO SPL SCHS OPER BY CO SUPT,29,17684
SAN BENITO CONS IND SCH DISTRICT 912,10520,130967
SAN BENITO JT UNION HIGH SCHOOL DIST,3108,54099
SAN BERNARDINO CITY UNIF SCHOOL DIST,49005,824781
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,2033,461443
SAN BRUNO PARK ELEMENTARY SCHOOL DISTRICT,2505,39119
SAN CARLOS ELEMENTARY SCHOOL DISTRICT,3060,52042
SAN CARLOS UNIFIED SCHOOL DISTRICT 20,1502,26221
SAN DIEGO CITY UNIF SCH DIST,103194,2027190
SAN DIEGO CO SPL SCHS OPER BY CO SUPT,1385,523753
SAN DIEGO IND SCH DIST 902,1477,19681
SAN DIEGUITO UNION HIGH SCHOOL DIST,13128,187071
SAN ELIZARIO IND SCH DIST 904,3668,44713
SAN FELIPE-DEL RIO CONS IND SCHL DIST 901,10437,109919
SAN FERNANDO SCHOOL DISTRICT 35,2,449
SAN FRANCISCO CITY/CNTY SPECIAL SCHOOLS,295,78525
SAN FRANCISCO UNIF SCH DIST,52498,1182117
SAN GABRIEL UNIFIED SCHOOL DIST,4990,76612
SAN ISIDRO IND SCH DIST 902,223,4104
SAN JACINTO UNIFIED SCH DIST,10132,152919
SAN JOAQUIN CO SPL SCHS,4153,270878
SAN JON SCHOOL DISTRICT,145,2629
SAN JOSE UNIFIED SCH DIST,29762,470536
SAN JUAN CO SCH DIST,3051,50871
SAN JUAN ISLAND SCHOOL DISTRICT 149,788,13702
SAN JUAN UNIF SCH DIST,40058,657298
SAN LEANDRO UNI SCH DIST,8926,141175
SAN LORENZO UNIFIED SCHOOL DIST,10201,154502
SAN LORENZO VAL UNIF SCH DIST,2621,46725
SAN LUCAS UNION ELEM SCH DIST,73,1224
SAN LUIS COASTAL UNIF SCH DIST,7653,121409
SAN LUIS OBISPO CO SPL SCHS OPER BY CO SUPT,375,64954
SAN MARCOS IND SCH DISTRICT 902,8097,106665
SAN MARCOS UNIFIED SCH DIST,21007,290047
SAN MARINO UNI SCH DIST,2967,51860
SAN MATEO CO SPL SCHS OPER BY CO SUPT,223,180897
SAN MATEO HIGH SCHOOL DISTRICT,9020,235566
SAN MATEO-FOSTER CITY SCHOOL DISTRICT,11724,181958
SAN MIGUEL JT UNION ELEM SCHOOL DIST,615,10359
SAN PASQUAL UNION SCH DIST,584,7561
SAN PASQUAL VAL UNIFIED SCH DIST,689,17888
SAN PERLITA IND SCH DIST 904,269,7443
SAN RAFAEL ELEMENTARY DISTRICT,4614,77088
SAN RAFAEL HIGH SCHOOL DISTRICT,2640,54325
SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,32138,430479
SAN SABA IND SCH DIST 901,762,9763
SAN SIMON SCHOOL DISTRICT 18,126,2204
SAN VICENTE ISD 903,13,1073
SAN YSIDRO ELEM SCH DIST,4578,77409
SANBORN CENTRAL SCHOOL DISTRICT 5-55,207,2869
SANBORN REGIONAL SCHOOL DISTRICT,1599,34416
SAND COULEE ELEM SCH DT 5,240,2426
SAND COULEE HIGH SCH DIST 5C,62,1601
SAND CREEK COMM SCHOOLS,842,9714
SAND HILLS PUB SD 71,90,2840
SAND SPRINGS SCH DIST 2,5061,48820
SANDERS UNIFIED SCHOOL DISTRICT 18,719,13493
SANDOVAL COMMUNITY UNIT SCHOOL DISTRICT 501,505,8657
SANDRIDGE SCHOOL DISTRICT 172,344,7048
SANDS IND SCH DIST,253,14219
SANDSPRINGS ELEM DIST 42,4,82
SANDUSKY CITY SCH DIST,3195,57935
SANDUSKY COMM SCH DIST,1017,12150
SANDWICH COMMUNITY SCHOOL DISTRICT 430,1994,26647
SANDWICH TOWN SCH,2510,55449
SANDY CREEK CENTRAL SCH,849,24738
SANDY VALLEY LOCAL SCH DIST,1358,19597
SANDYSTON-WALPACK SCHOOL DIST,138,3602
SANFORD IND SCH DIST 903,731,8770
SANFORD PUBLIC SCHOOL DEPARTMENT,3163,56742
SANFORD SCH DIST 6J,357,4618
SANGAMON VALLEY COMMUNITY UNIT SCHOOL DISTRICT 9,688,10479
SANGER IND SCH DIST 908,2759,33770
SANGER UNIF SCH DIST,12305,186241
SANGRE DE CRISTO SCH DIST RE-22J,310,4640
SANTA ANA UNI SCH DIST,46961,804885
SANTA ANNA IND SCH DIST 903,264,3849
SANTA BARBARA CO SPL SCHS OPER BY CO SUPT,186,89900
SANTA BARBARA UNIFIED SCHOOL DISTRICT,13762,215166
SANTA CLARA ELEM SCH DIST,59,680
SANTA CLARA UNIF SCH DIST,15387,387242
SANTA CRUZ CITY HIGH SCHOOL DISTRICT,4617,1819
SANTA CRUZ CITY SCHOOL DISTRICT,6599,117083
SANTA CRUZ CO SPL SCHS OPER BY CO SUPT,1468,75676
SANTA CRUZ ELEMENTARY SCHOOL DISTRICT 28,186,2969
SANTA CRUZ VALLEY SCHOOL DISTRICT 35,3296,27496
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT 840,403,5772
SANTA FE CITY SCHOOL DISTRICT,13139,209737
SANTA FE IND SCH DISTRICT 909,4602,54577
SANTA FE SCHOOL DISTRICT R-10,333,5142
SANTA FE TRAIL UNIFIED SCHOOL DISTRICT 434,1112,14242
SANTA GERTRUDIS IND SCH DISTRICT 904,804,9784
SANTA MARIA IND SCH DIST 913,636,11150
SANTA MARIA JT UNION HIGH SCHOOL DIST,8166,145073
SANTA MARIA-BONITA SCHOOL DISTRICT,16940,256229
SANTA MONICA-MALIBU UNIFIED SCHOOL DIST,10625,235705
SANTA PAULA UNIFIED SCHOOL DISTRICT,5270,83688
SANTA RITA UNION ELEM SCH DIST,3646,47768
SANTA ROSA CITY SCHOOLS,15980,240315
SANTA ROSA CONSOLIDATED SCHOOL DISTRICT,649,9163
SANTA ROSA COUNTY SCHOOL DISTRICT,28475,280038
SANTA ROSA IND SCH DIST 914,1107,17575
SANTA YNEZ VAL UNION HIGH SCHOOL DIST,926,16040
SANTEE SCH DIST 505,181,7509
SANTEE SCHOOL DISTRICT,6826,85334
SANTIAM CANYON SCH DIST 129J,4453,48112
SANTO IND SCH DIST 904,463,5552
SAPULPA SCH DIST 33,3716,39916
SARALAND CITY SCHOOLS,3114,35237
SARANAC COMM SCH DIST,920,11351
SARANAC CTL SCH DIST,1511,34665
SARANAC LAKE CTL SCHOOL DIST,1118,33411
SARASOTA COUNTY SCHOOL DISTRICT,43111,614730
SARATOGA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 60-C,795,10296
SARATOGA SPRINGS CITY SCHOOL DIST,6431,126385
SARATOGA UNION ELEM SCH DIST,1765,41927
SARCOXIE SCH DIST R 2,754,9221
SARGENT CENT SCH DIST 6,161,4357
SARGENT SCH DIST 84,170,3530
SARGENT SCH DIST R 33 J,347,4982
SARTELL IND SCH DIST 748,4074,55291
SASAKWA SCHOOL DISTRICT 10,208,2456
SATANTA UNIFIED SCHOOL DISTRICT 507,293,4621
SATSOP SCHOOL DISTRICT 104,55,912
SATSUMA CITY SCHOOL DISTRICT,1533,16165
SAUCELITO ELEM SCH DIST,78,1297
SAUCON VALLEY SCH DIST,2117,47335
SAUGATUCK SCHOOL DIST 8,836,11967
SAUGERTIES CTL SCH DIST,2608,67160
SAUGUS TOWN SCH,2609,66478
SAUGUS UNION SCHOOL DISTRICT,9791,173859
SAUK CENTRE SCH DIST 743,1098,16030
